,date_time,runTimeSeconds,runTimeMinutes,movingTimeSeconds,movingTimeMinutes,zone0Seconds,zone1Seconds,zone2Seconds,zone3Seconds,zone4Seconds,zone5Seconds,distanceM,distanceKM,avgHr,maxHr,minHr,calories,avgRunCadence,elevationGain,locationName,endLongitude,endLatitude
2,2025-02-04 09:41:24,5185.7568359375,86.42928059895833,5143.318006873131,85.72196678121885,0.0,0.0,30.102,90.824,1799.011,3231.573,15009.23046875,15.00923046875,167.0,184.0,119.0,5032.214019999999,81.0,6923.6419677734375,Wiltshire,-2.138616358861327,51.459611831232905
4,2025-02-02 12:43:04,1338.9139404296875,22.31523234049479,791.2180000543594,13.186966667572657,0.0,0.0,0.0,162.787,133.043,501.462,3005.93994140625,3.00593994140625,163.0,175.0,133.0,750.0135799999999,81.0,1527.2369384765625,Wiltshire,-2.117278380319476,51.4596361387521
7,2025-01-30 10:08:29,1402.9840087890625,23.383066813151043,1330.4779968261719,22.174633280436197,0.0,0.0,44.49,117.997,608.791,560.179,3658.330078125,3.658330078125,162.0,185.0,124.0,1219.2958199999998,73.0,952.4246215820312,Wiltshire,-2.1143252681940794,51.46072377450764
10,2025-01-28 11:11:56,2079.5859375,34.659765625,887.3499984741211,14.78916664123535,18.47,16.464,167.566,486.19,195.794,9.893,3489.93994140625,3.48993994140625,139.0,176.0,70.0,691.3533,82.0,1422.8572845458984,Wiltshire,-2.140382593497634,51.45997401326895
13,2025-01-23 15:22:38,1679.56103515625,27.992683919270835,1507.3290088176727,25.12215014696121,0.0,15.294,45.354,581.455,719.189,154.006,4009.010009765625,4.009010009765625,151.0,171.0,100.0,1248.6259599999998,77.0,1741.265869140625,Wiltshire,-2.13733677752316,51.464675925672054
14,2025-01-22 06:45:48,961.7979736328125,16.029966227213542,956.6240081787109,15.943733469645183,0.0,0.0,15.318,112.682,834.45,0.0,2451.3701171875,2.4513701171875,151.0,162.0,118.0,817.0538999999999,78.0,2204.859161376953,Wiltshire,-2.124148439615965,51.4697574544698
15,2025-01-16 04:15:09,3109.677978515625,51.82796630859375,3029.8870009183884,50.49811668197314,0.0,0.0,14.164,55.003,655.765,1747.367,8006.759765625,8.006759765625,174.0,190.0,,3159.27508,78.0,2023.8927841186523,Hikkaduwa Nagarikaya,80.09317668154836,6.156332362443209
16,2025-01-13 10:57:48,1912.990966796875,31.883182779947916,1811.8789978027344,30.19798329671224,0.0,14.054,35.0,280.096,898.303,522.342,5008.47998046875,5.00847998046875,160.0,189.0,,1701.1481199999998,78.0,2208.787441253662,Pelena West,80.43588453903794,5.973081663250923
17,2025-01-11 04:06:35,1057.6529541015625,17.62754923502604,1055.4349975585938,17.590583292643228,0.0,13.999,7.001,84.001,481.162,471.949,3008.6201171875,3.0086201171875,162.0,180.0,,997.22476,80.0,1509.2021942138672,Mirissa North,80.45681037940085,5.948463762179017
18,2025-01-05 05:10:07,1185.2900390625,19.754833984375,1184.489003419876,19.74148339033127,0.0,0.0,0.0,355.906,618.28,211.772,3007.919921875,3.007919921875,154.0,175.0,,1064.26508,78.0,2062.9379272460938,Inamaluwa,80.69056212902069,7.927303863689303
19,2025-01-03 03:49:37,1924.8919677734375,32.08153279622396,1757.0039845705032,29.28339974284172,0.551,19.001,10.999,348.706,648.559,733.005,5005.6298828125,5.0056298828125,160.0,177.0,,1613.1576999999997,80.0,260.579776763916,Negombo,79.83950114808977,7.216643448919058
20,2024-12-29 02:59:03,2068.72412109375,34.4787353515625,1535.6430053710938,25.59405008951823,0.0,0.0,0.0,63.383,48.0,830.884,4014.43994140625,4.01443994140625,180.0,189.0,,1743.0483199999999,79.0,2525.07963180542,Badung,115.13014658354223,-8.641096008941531
21,2024-12-27 07:49:24,1315.27001953125,21.9211669921875,952.0,15.866666666666667,0.0,19.883,55.594,148.236,730.29,0.0,2541.14990234375,2.54114990234375,151.0,166.0,,846.3840399999999,78.0,909.3658447265625,Badung,115.15829427167773,-8.63737209700048
22,2024-12-25 05:49:27,1383.95703125,23.065950520833333,1083.8520202636719,18.064200337727865,0.0,0.0,50.564,83.004,508.308,444.254,3477.18994140625,3.47718994140625,161.0,177.0,,1018.17486,79.0,3157.1313858032227,Badung,115.1360884308815,-8.640037793666124
23,2024-12-23 01:51:24,1117.2779541015625,18.62129923502604,1116.697998046875,18.61163330078125,0.0,15.001,34.999,176.999,599.644,291.897,3006.659912109375,3.006659912109375,157.0,174.0,,1026.5548999999999,78.0,878.2601356506348,Badung,115.14258725568652,-8.64379171282053
24,2024-12-23 01:48:47,900.9240112304688,15.01540018717448,900.5679931640625,15.009466552734375,0.0,10.474,14.0,229.111,648.349,0.0,2367.590087890625,2.367590087890625,152.0,165.0,,800.29382,79.0,80.00297546386719,Lombok Utara,116.03723882697523,-8.361238678917289
25,2024-12-20 10:10:02,1295.7889404296875,21.59648234049479,1223.010009765625,20.383500162760416,0.0,17.932,287.256,393.229,528.602,1.997,3099.35009765625,3.09935009765625,142.0,169.0,,984.6546999999999,70.0,977.9806435108185,Lombok Utara,116.04345065541565,-8.353755651041865
26,2024-12-19 02:55:12,2279.0869140625,37.984781901041664,2277.7760009765625,37.96293334960937,16.999,2.096,23.0,242.007,988.717,1008.705,6408.64990234375,6.40864990234375,162.0,184.0,,2166.24034,79.0,561.7284297943115,Lombok Utara,116.0411599650979,-8.358176853507757
27,2024-12-17 03:29:46,2315.2880859375,38.588134765625,2086.0,34.766666666666666,12.809,3.0,106.403,1025.566,960.046,0.0,4539.35009765625,4.53935009765625,145.0,160.0,,1784.94852,74.0,1966.4695262908936,Badung,115.1423152629286,-8.642816813662648
28,2024-12-15 08:57:09,1023.5289916992188,17.058816528320314,963.0,16.05,0.0,0.0,98.668,253.697,349.326,263.992,2679.3798828125,2.6793798828125,152.0,176.0,,871.5241599999999,73.0,1894.2710876464844,Badung,115.14821134507656,-8.637963021174073
29,2024-12-14 01:34:47,917.7940063476562,15.296566772460938,899.7420043945312,14.995700073242187,0.0,0.0,7.376,140.999,754.116,0.0,2298.699951171875,2.298699951171875,153.0,166.0,,829.6239599999999,80.0,982.3416709899902,Badung,115.14037946239114,-8.6468446534127
30,2024-12-08 03:33:21,1830.0469970703125,30.500783284505207,1777.5229952335358,29.625383253892263,0.0,0.0,11.467,226.925,1350.515,196.457,5007.52001953125,5.00752001953125,158.0,172.0,,1671.8179799999998,80.0,1910.8718872070312,Yogyakarta,110.3727603983134,-7.786898519843817
31,2024-12-07 03:16:16,1297.260986328125,21.621016438802084,1260.6740112304688,21.011233520507812,13.246,3.997,18.999,148.606,605.351,473.743,3474.6201171875,3.4746201171875,160.0,178.0,,1198.3457199999998,78.0,1407.9421997070312,Yogyakarta,110.37179438397288,-7.7990806940943
33,2024-12-04 00:56:01,1120.1820068359375,18.66970011393229,980.0,16.333333333333332,21.306,53.002,241.602,332.427,368.447,2.0,2584.800048828125,2.584800048828125,138.0,167.0,,796.1038,71.0,5471.363615989685,Singapore,103.81486161611974,1.3115770742297173
34,2024-12-02 03:40:57,900.7579956054688,15.012633260091146,900.0859909057617,15.001433181762696,,,,,,,2336.14990234375,2.33614990234375,138.0,154.0,,720.6834399999999,79.0,1580.8010578155518,Singapore,103.80631576292217,1.3163726963102818
35,2024-11-29 22:36:09,3483.501953125,58.05836588541667,3481.3489990234375,58.022483317057294,,,,,,,10170.7998046875,10.1707998046875,169.0,197.0,,3532.18686,81.0,23605.73526620865,Singapore,103.85250055231154,1.287669874727726
37,2024-11-25 06:11:14,1201.7989501953125,20.02998250325521,1200.3809967041016,20.006349945068358,,,,,,,3156.4599609375,3.1564599609375,150.0,162.0,,1068.4551,79.0,5430.087947845459,Quan 1,106.69233955442905,10.775153199210763
38,2024-11-22 07:44:10,2842.3349609375,47.372249348958334,2840.629020690918,47.3438170115153,,,,,,,8020.35009765625,8.02035009765625,165.0,188.0,,2840.8335599999996,82.0,2316.97359085083,Phan Thiet,108.24191473424435,10.954516539350152
39,2024-11-22 07:36:04,1434.43994140625,23.907332356770834,1432.3099975585938,23.871833292643228,,,,,,,4165.52978515625,4.16552978515625,155.0,175.0,,1319.8563,80.0,1182.1654796600342,Phan Thiet,108.24452511034906,10.95446758903563
40,2024-11-19 09:35:46,2417.696044921875,40.29493408203125,2287.727996826172,38.12879994710286,,,,,,,5501.64990234375,5.50164990234375,138.0,151.0,,1801.7086,78.0,2080.712890625,Da Lat,108.44273993745446,11.9447997584939
41,2024-11-18 02:17:00,1757.9580078125,29.299300130208334,1757.0099792480469,29.283499654134115,,,,,,,5012.25,5.01225,158.0,173.0,,1642.4878399999998,80.0,2707.2713375091553,Nha Trang,109.19336484745145,12.242191275581717
42,2024-11-16 06:01:49,4347.6298828125,72.460498046875,4078.906982421875,67.98178304036459,,,,,,,10020.25,10.02025,158.0,173.0,,3804.5381599999996,78.0,3285.139413177967,Nha Trang,109.19342092238367,12.239817520603538
43,2024-11-14 01:07:15,2341.580078125,39.02633463541667,2340.1089782714844,39.00181630452474,,,,,,,6010.7001953125,6.0107001953125,154.0,178.0,,2191.38046,79.0,2390.6668305397034,Nha Trang,109.19659104198217,12.251924509182572
44,2024-11-13 02:46:23,1037.238037109375,17.287300618489585,1035.5960083007812,17.259933471679688,,,,,,,3302.030029296875,3.302030029296875,155.0,176.0,,938.5644799999999,75.0,836.8810415267944,Hoi An,108.35644581355155,15.901025366038084
45,2024-11-11 07:15:22,2137.14697265625,35.6191162109375,2037.8699836730957,33.96449972788493,,,,,,,5050.22998046875,5.05022998046875,151.0,187.0,,1860.3688799999998,79.0,1102.1824359893799,Hoi An,108.32918057218194,15.917933424934745
46,2024-11-10 07:05:39,1922.2139892578125,32.03689982096354,1831.4949951171875,30.52491658528646,,,,,,,5007.5,5.0075,160.0,176.0,,1805.89862,80.0,2979.510259628296,Hoi An,108.35050639696419,15.904671410098672
50,2024-11-05 01:21:05,3779.947998046875,62.99913330078125,3777.867977619171,62.964466293652855,,,,,,,10017.4501953125,10.0174501953125,151.0,176.0,,3444.1964399999997,80.0,15145.60448974371,Huyen Hoa Lu,105.93226899392903,20.215812446549535
51,2024-11-03 02:41:23,1873.3509521484375,31.222515869140626,1871.4030015468597,31.190050025780995,,,,,,,5009.4599609375,5.0094599609375,149.0,165.0,,1688.5780599999998,79.0,791.9427633285522,Huyen Cat Hai,106.94905017502606,20.801755087450147
52,2024-11-02 09:24:21,1719.5830078125,28.659716796875,1641.0589904785156,27.35098317464193,,,,,,,5015.56005859375,5.01556005859375,157.0,173.0,,1537.73734,80.0,7188.243556022644,Huyen Cat Hai,107.04932170920074,20.72418794967234
53,2024-11-01 05:44:14,1680.9549560546875,28.01591593424479,1477.5920104980469,24.62653350830078,,,,,,,3746.169921875,3.746169921875,149.0,168.0,,1328.23634,78.0,8067.341423034668,Huyen Cat Hai,107.05284428782761,20.729353046044707
54,2024-10-29 03:17:45,1729.10498046875,28.818416341145834,1726.6509983539581,28.777516639232637,,,,,,,5017.77001953125,5.01777001953125,161.0,180.0,,1680.1980199999998,82.0,1624.7314453125,Huyen Sa Pa,103.84675685316324,22.337667429819703
55,2024-10-28 09:15:01,672.3579711914062,11.205966186523437,581.5590000152588,9.692650000254313,,,,,,,2009.8399658203125,2.0098399658203125,142.0,149.0,,481.85229999999996,77.0,551.94091796875,Huyen Sa Pa,103.84782822802663,22.33840805478394
56,2024-10-26 04:24:55,3229.843017578125,53.83071695963542,2943.468994140625,49.05781656901042,,,,,,,7546.080078125,7.546080078125,163.0,179.0,,2941.3940399999997,78.0,6211.785888671875,Ha Giang,104.97981053777039,22.818889757618308
57,2024-10-24 21:21:59,1961.0439453125,32.68406575520833,1888.7620029449463,31.479366715749105,,,,,,,5007.2099609375,5.0072099609375,162.0,179.0,,1910.6491199999998,77.0,4341.609191894531,Ha Giang,104.97856901027262,22.827380374073982
62,2024-10-13 09:52:37,2091.23095703125,34.85384928385417,2090.3899841308594,34.83983306884765,,,,,,,5606.64013671875,5.60664013671875,163.0,174.0,,2434.4016199999996,77.0,3413.175582885742,Wiltshire,-2.1365868486464024,51.46622657775879
